Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00  1062370     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.14     0.00  1062370     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.14     0.00  1062370     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.14     0.00  1062370     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.14     0.00  1062370     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.14     0.00  1062370     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.14     0.00  1062370     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.14     0.00  1062370     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.14     0.00   993573     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.14     0.00   986953     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.14     0.00   986953     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.14     0.00   986953     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.14     0.00   984428     0.00     0.00  Node::getState()
  0.00      0.14     0.00   904123     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.14     0.00   904123     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.14     0.00   904123     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
